id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,liveness,popularity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.00,0.05,0.80
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.02,0.06,0.48
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.00,0.08,0.62
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.01,0.04,0.33
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.00,0.12,0.71
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.03,0.02,0.29
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.06,0.14,0.44
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.00,0.09,0.57
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.01,0.05,0.36
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.00,0.07,0.52
11,Breakbeat Anthem,Street Pulse,hip hop,energetic,0.88,98,0.65,0.92,0.12,0.05,0.15,0.78
12,Quiet Sonata,Azure Quartet,classical,melancholic,0.18,60,0.12,0.10,0.96,0.94,0.03,0.28
13,Razorwire,Iron Echo,metal,aggressive,0.97,172,0.24,0.56,0.03,0.02,0.11,0.69
14,Wide Open Road,Maple Highway,country,nostalgic,0.58,98,0.74,0.66,0.39,0.21,0.07,0.46
15,Island Breeze,Reggae Roots,reggae,dreamy,0.47,74,0.81,0.72,0.52,0.33,0.12,0.55
16,Neon Arcade,Synth Cartel,electronic,playful,0.84,128,0.88,0.90,0.15,0.01,0.18,0.83
17,Backwoods Lullaby,Hearth Song,folk,romantic,0.35,72,0.85,0.45,0.82,0.60,0.02,0.39
18,Velvet Nights,Soul Ember,rnb,sultry,0.68,86,0.79,0.61,0.47,0.10,0.21,0.64
19,Delta River,Blue Harbor,blues,somber,0.29,68,0.22,0.38,0.71,0.58,0.06,0.31
20,Drumline Horizon,Global Drift,world,uplifting,0.73,110,0.93,0.84,0.28,0.45,0.09,0.58
